diel, Variable, line(s), column(s)
no, Flow05, 9, 49-73
no, Flow08, 12, 49-73
no, fcob05, 35, 193-217
no, fcob06, 36, 193-217
no, fcob08, 38, 193-217
no, orgn05, 35, 218-241
no, orgn06, 36, 218-241
no, orgn08, 38, 218-241
no, nh405, 35, 242-265
no, nh406, 36, 242-265
no, nh408, 38, 242-265
no, no305, 35, 266-289
no, no306, 36, 266-289
no, no308, 38, 266-289
no, orgp05, 35, 266-289
no, orgp06, 36, 266-289
no, orgp08, 38, 266-289
no, inorgp05, 35, 313-337
no, inorgp06, 36, 313-337
no, inorgp08, 38, 313-337
yes, doave0500, 766-894,   145-169
yes, doave0600, 895-1023,  145-169
yes, doave0800, 1153-1281, 145-169
yes, doave0501, 766-894,   145-169
yes, doave0601, 895-1023,  145-169
yes, doave0801, 1153-1281, 145-169
yes, doave0502, 766-894,   145-169
yes, doave0602, 895-1023,  145-169
yes, doave0802, 1153-1281, 145-169
yes, doave0503, 766-894,   145-169
yes, doave0603, 895-1023,  145-169
yes, doave0803, 1153-1281, 145-169
yes, doave0504, 766-894,   145-169
yes, doave0604, 895-1023,  145-169
yes, doave0804, 1153-1281, 145-169
yes, doave0505, 766-894,   145-169
yes, doave0605, 895-1023,  145-169
yes, doave0805, 1153-1281, 145-169
yes, doave0506, 766-894,   145-169
yes, doave0606, 895-1023,  145-169
yes, doave0806, 1153-1281, 145-169
yes, doave0507, 766-894,   145-169
yes, doave0607, 895-1023,  145-169
yes, doave0807, 1153-1281, 145-169
yes, doave0508, 766-894,   145-169
yes, doave0608, 895-1023,  145-169
yes, doave0808, 1153-1281, 145-169
yes, doave0509, 766-894,   145-169
yes, doave0609, 895-1023,  145-169
yes, doave0809, 1153-1281, 145-169
yes, doave0510, 766-894,   145-169
yes, doave0610, 895-1023,  145-169
yes, doave0810, 1153-1281, 145-169
yes, doave0511, 766-894,   145-169
yes, doave0611, 895-1023,  145-169
yes, doave0811, 1153-1281, 145-169
yes, doave0512, 766-894,   145-169
yes, doave0612, 895-1023,  145-169
yes, doave0812, 1153-1281, 145-169
yes, doave0513, 766-894,   145-169
yes, doave0613, 895-1023,  145-169
yes, doave0813, 1153-1281, 145-169
yes, doave0514, 766-894,   145-169
yes, doave0614, 895-1023,  145-169
yes, doave0814, 1153-1281, 145-169
yes, doave0515, 766-894,   145-169
yes, doave0615, 895-1023,  145-169
yes, doave0815, 1153-1281, 145-169
yes, doave0516, 766-894,   145-169
yes, doave0616, 895-1023,  145-169
yes, doave0816, 1153-1281, 145-169
yes, doave0517, 766-894,   145-169
yes, doave0617, 895-1023,  145-169
yes, doave0817, 1153-1281, 145-169
yes, doave0518, 766-894,   145-169
yes, doave0618, 895-1023,  145-169
yes, doave0818, 1153-1281, 145-169
yes, doave0519, 766-894,   145-169
yes, doave0619, 895-1023,  145-169
yes, doave0819, 1153-1281, 145-169
yes, doave0520, 766-894,   145-169
yes, doave0620, 895-1023,  145-169
yes, doave0820, 1153-1281, 145-169
yes, doave0521, 766-894,   145-169
yes, doave0621, 895-1023,  145-169
yes, doave0821, 1153-1281, 145-169
yes, doave0522, 766-894,   145-169
yes, doave0622, 895-1023,  145-169
yes, doave0822, 1153-1281, 145-169
yes, doave0523, 766-894,   145-169
yes, doave0623, 895-1023,  145-169
yes, doave0823, 1153-1281, 145-169
yes, domin0500, 766-894,   145-169
yes, domin0600, 895-1023,  145-169
yes, domin0800, 1153-1281, 145-169
yes, domin0501, 766-894,   145-169
yes, domin0601, 895-1023,  145-169
yes, domin0801, 1153-1281, 145-169
yes, domin0502, 766-894,   145-169
yes, domin0602, 895-1023,  145-169
yes, domin0802, 1153-1281, 145-169
yes, domin0503, 766-894,   145-169
yes, domin0603, 895-1023,  145-169
yes, domin0803, 1153-1281, 145-169
yes, domin0504, 766-894,   145-169
yes, domin0604, 895-1023,  145-169
yes, domin0804, 1153-1281, 145-169
yes, domin0505, 766-894,   145-169
yes, domin0605, 895-1023,  145-169
yes, domin0805, 1153-1281, 145-169
yes, domin0506, 766-894,   145-169
yes, domin0606, 895-1023,  145-169
yes, domin0806, 1153-1281, 145-169
yes, domin0507, 766-894,   145-169
yes, domin0607, 895-1023,  145-169
yes, domin0807, 1153-1281, 145-169
yes, domin0508, 766-894,   145-169
yes, domin0608, 895-1023,  145-169
yes, domin0808, 1153-1281, 145-169
yes, domin0509, 766-894,   145-169
yes, domin0609, 895-1023,  145-169
yes, domin0809, 1153-1281, 145-169
yes, domin0510, 766-894,   145-169
yes, domin0610, 895-1023,  145-169
yes, domin0810, 1153-1281, 145-169
yes, domin0511, 766-894,   145-169
yes, domin0611, 895-1023,  145-169
yes, domin0811, 1153-1281, 145-169
yes, domin0512, 766-894,   145-169
yes, domin0612, 895-1023,  145-169
yes, domin0812, 1153-1281, 145-169
yes, domin0513, 766-894,   145-169
yes, domin0613, 895-1023,  145-169
yes, domin0813, 1153-1281, 145-169
yes, domin0514, 766-894,   145-169
yes, domin0614, 895-1023,  145-169
yes, domin0814, 1153-1281, 145-169
yes, domin0515, 766-894,   145-169
yes, domin0615, 895-1023,  145-169
yes, domin0815, 1153-1281, 145-169
yes, domin0516, 766-894,   145-169
yes, domin0616, 895-1023,  145-169
yes, domin0816, 1153-1281, 145-169
yes, domin0517, 766-894,   145-169
yes, domin0617, 895-1023,  145-169
yes, domin0817, 1153-1281, 145-169
yes, domin0518, 766-894,   145-169
yes, domin0618, 895-1023,  145-169
yes, domin0818, 1153-1281, 145-169
yes, domin0519, 766-894,   145-169
yes, domin0619, 895-1023,  145-169
yes, domin0819, 1153-1281, 145-169
yes, domin0520, 766-894,   145-169
yes, domin0620, 895-1023,  145-169
yes, domin0820, 1153-1281, 145-169
yes, domin0521, 766-894,   145-169
yes, domin0621, 895-1023,  145-169
yes, domin0821, 1153-1281, 145-169
yes, domin0522, 766-894,   145-169
yes, domin0622, 895-1023,  145-169
yes, domin0822, 1153-1281, 145-169
yes, domin0523, 766-894,   145-169
yes, domin0623, 895-1023,  145-169
yes, domin0823, 1153-1281, 145-169
yes, domax0500, 766-894,   145-169
yes, domax0600, 895-1023,  145-169
yes, domax0800, 1153-1281, 145-169
yes, domax0501, 766-894,   145-169
